Parameter,FisherInformation
embedding_layers.user_id.weight,2.300746926309216e-09
embedding_layers.item_id.weight,3.917287327848129e-10
embedding_layers.category.weight,1.696458821243141e-05
embedding_layers.brand.weight,1.6542132108554597e-09
price_proj.weight,1.3964362551632803e-05
price_proj.bias,0.00029640644788742065
cross_layers.0.weight,6.089664566388819e-06
cross_layers.0.bias,7.938237104099244e-06
cross_layers.1.weight,3.125846887996886e-06
cross_layers.1.bias,3.7868810522923013e-06
cross_layers.2.weight,2.358124902457348e-06
cross_layers.2.bias,3.44109935213055e-06
cross_layers.3.weight,2.744296125456458e-06
cross_layers.3.bias,4.0371546674577985e-06
cross_layers.4.weight,2.1582329736702377e-06
cross_layers.4.bias,3.7528313896473264e-06
cross_layers.5.weight,1.6386297829740215e-06
cross_layers.5.bias,2.3958914425747935e-06
norm_layers.0.weight,8.618076208222192e-06
norm_layers.0.bias,1.863470060925465e-05
norm_layers.1.weight,7.501288109779125e-06
norm_layers.1.bias,1.9510347556206398e-05
norm_layers.2.weight,5.932035946898395e-06
norm_layers.2.bias,2.661209146026522e-05
norm_layers.3.weight,7.478264251403743e-06
norm_layers.3.bias,2.8142783776274882e-05
norm_layers.4.weight,5.167896688362816e-06
norm_layers.4.bias,3.355418084538542e-05
norm_layers.5.weight,1.0574093721515965e-05
norm_layers.5.bias,4.4757063733413815e-05
mlp.0.weight,1.038920686369238e-06
mlp.0.bias,2.5703225219331216e-06
mlp.3.weight,4.976937475476007e-07
mlp.3.bias,2.5775878384592943e-05
mlp.6.weight,0.0004998844815418124
mlp.6.bias,0.006582232657819986
